"cd_cvm","nome_companhia"
"001023","BCO BRASIL S.A."
"014206","BRB BCO DE BRASILIA S.A."
"002437","CENTRAIS ELET BRAS S.A. - ELETROBRAS"
"014451","CIA ENERGETICA DE BRASILIA"
"014540","VBC ENERGIA SA"
"014621","NET SERVIÇOS DE COMUNICAÇÃO S.A."
"015733","SHOPPING CENTER TACARUNA SA"
"014680","PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO"
"014613","NEUMARKT TRADE AND FINANCIAL CENTER S/A"
"014796","FORPART S.A. - EM LIQUIDAÇÃO"
"015334","BOMBRIL HOLDING SA"
"014818","CIMS S.A."
"011258","TELEC BRASILEIRAS S.A. TELEBRAS"
"015083","KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL"
"015423","ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"016772","BNDES PARTICIPACOES S.A. - BNDESPAR"
"016209","ELETRON S.A."
"014966","SERRA AZUL WATER PARK SA"
"022594","STATKRAFT ENERGIAS RENOVAVEIS S.A."
"018589","INVESTCO S.A."
"014915","GTD PARTICIPACOES SA"
"015091","LITEL PARTICIPACOES S.A."
"020990","AMERICANAS S.A."
"019577","CONC RODOVIA PRES. DUTRA S.A."
"015253","ENERGISA S.A."
"015261","SAUIPE SA"
"015199","SANTA CATARINA PART INVEST SA"
"015369","FERROVIA CENTRO-ATLANTICA S.A."
"015377","HOPI HARI SA"
"019208","CONC RIO-TERESOPOLIS S.A."
"015717","CAIXA ADM DIV PUB ESTADUAL SA"
"015652","COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO"
"021733","CIELO S.A."
"015539","NEOENERGIA S.A."
"015784","ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR"
"019887","UNIVERSO ONLINE SA"
"015865","ITAITINGA PARTICIPACOES S.A."
"015709","FERROVIA SUL-ATLANTICO S.A."
"015695","GRUCAI PARTICIPACOES S.A."
"015741","WTC AMAZONAS SUITE HOTEL S.A."
"018910","ITA ENERGETICA S/A"
"018988","VOTORANTIM FINANÇAS SA"
"015849","ENERGIPAR PARTICIPAÇÕES S.A."
"017949","MRS LOGISTICA S.A."
"020893","REDECARD S/A"
"016101","GAFISA S.A."
"016330","521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"006041","INVESTIMENTOS BEMGE S.A."
"016233","BELAPART SA"
"019186","SANEAMENTO DE GOIAS SA"
"017590","CONCES DA ROD OSÓRIO-POA S/A - CONCEPA"
"016195","AMERICEL SA"
"016225","VALETRON SA"
"016390","TAM S.A."
"016292","BRF S.A."
"016284","524 PARTICIPACOES S.A."
"020133","BV LEASING - ARRENDAMENTO MERCANTIL S.A."
"020044","CSU CARDSYSTEM S.A."
"019313","AES ELPA S.A."
"018708","CIA PARTICIPACOES ALIANCA DA BAHIA"
"016438","SUL 116 PARTICIPACOES S.A."
"016497","EMPRESA NAC COM REDITO PART S.A.ENCORPAR"
"016551","WTC RIO EMPREEND. E PARTICIPAÇÕES S.A."
"016535","RIO GRANDE ENERGIA SA"
"016527","RGE SUL DISTRIBUIDORA DE ENERGIA S.A."
"016586","SUDESTE S.A."
"016446","NUMERAL 80 PARTICIPAÇÕES S.A."
"018287","CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO"
"018678","TELEMAR PARTICIPAÇÕES SA"
"016560","BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO"
"016659","PORTO SEGURO S.A."
"016624","UPTICK PARTICIPACOES S.A."
"019143","EDITORA ABRIL S/A"
"016632","DEXXOS PARTICIPAÇÕES S.A."
"016675","CEL PARTICIPAÇÕES S.A. - CELPAR"
"016705","YBYRÁ S.A."
"016691","LIGA FUTEBOL SA"
"019151","RODONORTE - CONC. ROD. INTEGRADAS S.A."
"019011","EMPRESA CONC RODOV DO NORTE S.A.ECONORTE"
"016730","INEPAR ENERGIA SA"
"017868","INEPAR EQUIPAMENTOS E MONTAGENS S/A"
"020443","TRANSNORDESTINA LOGISTICA SA"
"017787","SUBESTAÇÃO ELETROMETRÔ S/A"
"019232","PRODUTORES ENERGET.DE MANSO S.A.- PROMAN"
"016985","EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A."
"016993","EMAE - EMPRESA METROP.AGUAS ENERGIA S.A."
"016950","DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO"
"017043","FG TRUST SA"
"017370","METALTRUST S/A (5212 PARTICIPAÇÕES S/A)"
"016942","OPPORTUNITY ENERGIA E PARTICIPACOES S.A."
"017485","ELEKTRO REDES S.A."
"017434","LONGDIS S.A."
"020800","TEGMA GESTAO LOGISTICA S.A."
"017337","RET PARTICIPACOES S.A."
"017361","ZAIN PARTICIPACOES S.A."
"018414","PADTEC HOLDING S.A."
"021830","VIANORTE S/A"
"017450","RUMO S.A."
"017442","LF TEL SA"
