"cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"001023_2010","2010-12-31","001023",802819794,25219700,777600094,802819794,632024117,116376741,54418936,85143206,16550866,11330345,NULL,NULL,NULL,NULL,"1.0727136205394356","0.03990306591417618","0.9322152537758679","0.9322152537758679","0.19438856930052645","0.13307397656602218","0.20820592670169075",NULL
"014206_2010","2010-12-31","014206",7796225,89521,7706704,7796225,6062210,917726,816289,1425290,360414,262184,NULL,NULL,NULL,NULL,"1.116947920439385","0.01476705689839184","0.8952968904822526","0.8952968904822526","0.252870643868967","0.1839513362192957","0.32119016671791484",NULL
"002437_2010","2010-12-31","002437",146901002,44084334,178878928,146901002,18369510,62159950,70530411,29814652,8458623,2552985,NULL,NULL,NULL,NULL,"2.7687167155970003","2.399864449296688","0.5330963111970353","0.36117815678530935","0.2837069169883318","0.08562853592924714","0.0361969392181764",NULL
"014451_2010","2010-12-31","014451",2119934,549218,2560975,2119934,627946,852505,714306,1839320,123772,19617,113240,-33462,-40750,39028,"2.1008415678735735","0.8746261621222207","0.6745398237709231","0.4759997209176408","0.06729226018311114","0.010665354587564969","0.027463020050230574",79778
"014540_2010","2010-12-31","014540",5835776,1399298,8276200,5835776,1347859,3022487,1539859,3074336,1289216,364349,NULL,NULL,NULL,NULL,"2.2138974808859526","1.0381634874270973","0.7394575991864918","0.4516920989493254","0.41934778761983077","0.11851307078992017","0.23661192355923497",NULL
"014621_2010","2010-12-31","014621",8541244,2320398,13413119,8541244,1288303,3993039,3814666,5405669,1126050,307151,NULL,NULL,NULL,NULL,"2.979075583440724","1.8011275297814255","0.5806219607546519","0.33567459837492153","0.20830909180713802","0.05682016416469451","0.08051845168095975",NULL
"015083_2010","2010-12-31","015083",105689,45993,103068,105689,5117022,1211403,NULL,29293,-732596,-626590,NULL,NULL,NULL,NULL,"0.02355420187487408","0.008988235735550873",NULL,"42.45526999013826","-25.009251356979483","-21.390434574813096",NULL,NULL
"022594_2010","2010-12-31","022594",1133738,151080,2036135,1133738,116681,437841,588224,112149,62291,9637,NULL,NULL,NULL,NULL,"3.9443250222714337","1.2948123516253718","0.48525394094575697","0.25352880260971145","0.5554307216292611","0.08593032483570964","0.01638321455771951",NULL
"015091_2010","2010-12-31","015091",44687577,13620865,66163029,44687577,7578656,22914121,19875375,16003352,14025150,4975591,NULL,NULL,NULL,NULL,"2.616485012171899","1.7972665601922029","0.6053979705270902","0.38219213767630844","0.8763882716570879","0.31090930200123074","0.2503394778714867",NULL
"020990_2010","2010-12-31","020990",3212014,2339580,2531882,3212014,1400288,1598592,225945,4073569,460664,33587,NULL,NULL,NULL,NULL,"1.624427119457931","1.670784867113051","0.929935732946749","0.6156016407394741","0.11308609231855407","0.008245103986209637","0.1486512204297506",NULL
"015253_2010","2010-12-31","015253",3634226,1565007,4385962,3634226,748612,1800373,1188160,2154319,628371,194648,573912,-348075,-414230,-188393,"2.3346426126477793","2.0905449017648663","0.6820674605882298","0.42833108355966903","0.29167964447233674","0.09035245012461014","0.16382305413412335",225837
"015369_2010","2010-12-31","015369",2284869,255277,3962049,2284869,242713,422921,1711301,970789,-21582,-11665,NULL,NULL,NULL,NULL,"6.335803159093436","1.0517648416030456","0.28003878944943805","0.1578331862417086","-0.022231401468290227","-0.012015999357223866","-0.006816451343159386",NULL
"015652_2010","2010-12-31","015652",21057,2197,36186,21057,22249,774254,NULL,8086,-169720,-84860,NULL,NULL,NULL,NULL,"0.04818939790559483","0.0987460110566767",NULL,"20.75145246593544","-20.98936433341578","-10.49468216670789",NULL,NULL
"021733_2010","2010-12-31","021733",3771406,2786924,1979876,3771406,2016357,1084431,1194251,3992494,5115664,1830914,NULL,NULL,NULL,NULL,"1.5372866510061314","1.3821580206282915","0.7219464130593459","0.6504967693211379","1.2813203977263334","0.4585890423379472","1.5331065245078297",NULL
"015539_2010","2010-12-31","015539",19590086,9750610,23726029,19590086,2919551,5620821,11256488,8950036,4835173,2064592,NULL,NULL,NULL,NULL,"3.9198104017014717","3.339763545832904","0.43140033318415144","0.2551143799113167","0.5402406202611922","0.2306797425172368","0.18341351227843",NULL
"019887_2010","2010-12-31","019887",1987182,758114,2840704,1987182,853833,205546,953573,816741,154432,97305,NULL,NULL,NULL,NULL,"3.397101509469227","0.8878949396427639","0.5262813022863934","0.29436859546662264","0.1890831977334308","0.11913813559010751","0.10204252846924147",NULL
"018988_2010","2010-12-31","018988",62986126,34280497,41206532,62986126,37140937,19746159,6161050,797556,429387,671037,NULL,NULL,NULL,NULL,"1.3269622516853383","0.9229841724240829","0.9022802351713879","0.7536009398382867","0.5383784963062155","0.8413666250394957","0.10891601269264167",NULL
"016101_2010","2010-12-31","016101",9549554,6384111,4995201,9549554,2017172,3887405,3783669,3720860,1039876,439980,NULL,NULL,NULL,NULL,"1.9272018977820087","3.164881824653525","0.6094577903987987","0.5188869942224978","0.27947195003305686","0.11824685690942417","0.11628395612829769",NULL
"016330_2010","2010-12-31","016330",3642156,1839179,4474980,3642156,555980,1018215,2106200,1621633,890036,379739,NULL,NULL,NULL,NULL,"4.011039928344329","3.3079948919025863","0.42772446979196527","0.24931190361218336","0.5488516822240297","0.234170740235306","0.18029579337194948",NULL
"016390_2010","2010-12-31","016390",14459063,5517577,20677278,14459063,4993522,7042421,2627391,11378691,2129582,668930,NULL,NULL,NULL,NULL,"2.1763857638740896","1.1049469692934166","0.8208189897331671","0.4594773668340596","0.18715527119947276","0.05878795724393957","0.25459857326145974",NULL
"016292_2010","2010-12-31","016292",27751547,12162773,34582424,27751547,5686384,10076365,13636518,22681253,2486034,804996,NULL,NULL,NULL,NULL,"2.9655485220249336","2.1389292386866594","0.536161292728829","0.3372057454373334","0.10960743659091497","0.035491689987321245","0.05903237175355175",NULL
"019313_2010","2010-12-31","019313",12343594,3609512,17874013,12343594,2520337,6013290,4649561,9785395,3894850,1306490,NULL,NULL,NULL,NULL,"2.517513948055147","1.4321545094961508","0.6473113331919411","0.39721726299571414","0.39802685532878335","0.13351428327624995","0.28099211947106406",NULL
"018708_2010","2010-12-31","018708",830238,665164,884690,830238,135765,113974,618827,198966,63524,27497,NULL,NULL,NULL,NULL,"6.205894954332323","4.899377601001731","0.28753025101143725","0.16113711356037408","0.3192706291527196","0.1381994913703849","0.044434066386890035",NULL
"016497_2010","2010-12-31","016497",175317,4556,325119,175317,3546,22091,150681,3777,17920,6799,NULL,NULL,NULL,NULL,"12.859343916994968","1.2848279751833052","0.14540205764584443","0.07776446500341246","4.744506221869209","1.8001059041567382","0.04512181363277387",NULL
"018287_2010","2010-12-31","018287",162474,163825,61335,162474,37917,54863,72333,35006,20347,9595,NULL,NULL,NULL,NULL,"2.4268161241646906","4.320621357174882","0.561918201474142","0.4120625333096465","0.5812432154487802","0.2740958692795521","0.13265038087733122",NULL
"018678_2010","2010-12-31","018678",76192636,31670046,102401725,76192636,19746068,45466090,18438474,29479382,5385286,1432431,NULL,NULL,NULL,NULL,"2.0559321315512977","1.6038659443490217","0.7795775888459516","0.48639737890834606","0.1826797454573505","0.048590944002828824","0.07768706889735018",NULL
"016624_2010","2010-12-31","016624",115798,32464,146247,115798,23132,30700,63477,66970,32316,14562,NULL,NULL,NULL,NULL,"3.3197912022588794","1.4034238284627356","0.45889062220290006","0.30122376350644336","0.4825444228759146","0.21744064506495445","0.22940592655607542",NULL
"019143_2010","2010-12-31","019143",1845686,784796,1782573,1845686,958844,540243,370401,2078388,683631,217533,NULL,NULL,NULL,NULL,"1.7126217491046216","0.818481421378243","0.8018703516684782","0.5839000938314671","0.3289236658410268","0.10466428790004562","0.5872905310730803",NULL
"016632_2010","2010-12-31","016632",773270,211029,1125142,773270,262430,349725,198532,554976,13272,-19356,NULL,NULL,NULL,NULL,"2.1827331313147815","0.8041344358495599","0.7551064714248532","0.4581412109677579","0.023914547656114858","-0.03487718387822176","-0.09749561783490823",NULL
"016675_2010","2010-12-31","016675",44694457,1934014,51502136,44694457,12265809,62012502,NULL,13722144,1480824,43569,1672739,-721560,-1064853,-113674,"0.7194044840357234","0.15767520919329495",NULL,"1.3900385974663219","0.10791491475384604","0.003175086925191865",NULL,951179
"016730_2010","2010-12-31","016730",444759,258851,249633,444759,265358,64849,114570,32487,-4134,-21061,NULL,NULL,NULL,NULL,"1.5398946721299065","0.9754784102985401","0.7424102415367702","0.6493950645448038","-0.12725090036014405","-0.6482900852648752","-0.18382648162695295",NULL
"016993_2010","2010-12-31","016993",1133069,128246,1590521,1133069,86033,272287,812700,142781,-52976,13974,NULL,NULL,NULL,NULL,"4.7967375530252285","1.4906605604826055","0.3059896500486755","0.20847502890153233","-0.37102975886147316","0.09787016479783725","0.01719453672942045",NULL
