"","cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"1","001023_2010",2010-12-31,"001023",802819794,25219700,777600094,802819794,632024117,116376741,54418936,85143206,16550866,11330345,NA,NA,NA,NA,1.07271362053944,0.0399030659141762,0.932215253775868,0.932215253775868,0.194388569300526,0.133073976566022,0.208205926701691,NA
"2","014206_2010",2010-12-31,"014206",7796225,89521,7706704,7796225,6062210,917726,816289,1425290,360414,262184,NA,NA,NA,NA,1.11694792043939,0.0147670568983918,0.895296890482253,0.895296890482253,0.252870643868967,0.183951336219296,0.321190166717915,NA
"3","002437_2010",2010-12-31,"002437",146901002,44084334,178878928,146901002,18369510,62159950,70530411,29814652,8458623,2552985,NA,NA,NA,NA,2.768716715597,2.39986444929669,0.533096311197035,0.361178156785309,0.283706916988332,0.0856285359292471,0.0361969392181764,NA
"4","014451_2010",2010-12-31,"014451",2119934,549218,2560975,2119934,627946,852505,714306,1839320,123772,19617,113240,-33462,-40750,39028,2.10084156787357,0.874626162122221,0.674539823770923,0.475999720917641,0.0672922601831111,0.010665354587565,0.0274630200502306,79778
"5","014540_2010",2010-12-31,"014540",5835776,1399298,8276200,5835776,1347859,3022487,1539859,3074336,1289216,364349,NA,NA,NA,NA,2.21389748088595,1.0381634874271,0.739457599186492,0.451692098949325,0.419347787619831,0.11851307078992,0.236611923559235,NA
"6","014621_2010",2010-12-31,"014621",8541244,2320398,13413119,8541244,1288303,3993039,3814666,5405669,1126050,307151,NA,NA,NA,NA,2.97907558344072,1.80112752978143,0.580621960754652,0.335674598374922,0.208309091807138,0.0568201641646945,0.0805184516809598,NA
"7","015083_2010",2010-12-31,"015083",105689,45993,103068,105689,5117022,1211403,NA,29293,-732596,-626590,NA,NA,NA,NA,0.0235542018748741,0.00898823573555087,NA,42.4552699901383,-25.0092513569795,-21.3904345748131,NA,NA
"8","022594_2010",2010-12-31,"022594",1133738,151080,2036135,1133738,116681,437841,588224,112149,62291,9637,NA,NA,NA,NA,3.94432502227143,1.29481235162537,0.485253940945757,0.253528802609711,0.555430721629261,0.0859303248357096,0.0163832145577195,NA
"9","015091_2010",2010-12-31,"015091",44687577,13620865,66163029,44687577,7578656,22914121,19875375,16003352,14025150,4975591,NA,NA,NA,NA,2.6164850121719,1.7972665601922,0.60539797052709,0.382192137676308,0.876388271657088,0.310909302001231,0.250339477871487,NA
"10","020990_2010",2010-12-31,"020990",3212014,2339580,2531882,3212014,1400288,1598592,225945,4073569,460664,33587,NA,NA,NA,NA,1.62442711945793,1.67078486711305,0.929935732946749,0.615601640739474,0.113086092318554,0.00824510398620964,0.148651220429751,NA
